Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAMC,Altisource Asset Management Corp Com,$4.96,-0.60,-10.791%,13710105.00,United States,,74754,Finance,Real Estate
AAU,Almaden Minerals Ltd. Common Shares,$0.1451,0.00,0.00%,19910826.00,Canada,2015,148160,,
ACU,Acme United Corporation. Common Stock,$40.87,0.32,0.789%,146521811.00,United States,1988,9665,Consumer Discretionary,Industrial Machinery/Components
ADEX,Adit EdTech Acquisition Corp. Common Stock,$4.97,0.7699,18.331%,44233129.00,,2021,25656,Technology,EDP Services
ADRT,Ault Disruptive Technologies Corporation Common Stock,$11.30,0.05,0.444%,162437500.00,,2022,913,Finance,Blank Checks
AE,Adams Resources & Energy Inc. Common Stock,$26.03,-0.33,-1.252%,66283859.00,United States,1980,2903,Energy,Oil Refining/Marketing
AEF,abrdn Emerging Markets Equity Income Fund Inc. Common Stock,$5.01,-0.0109,-0.217%,537886125.00,United States,,386216,Finance,Finance/Investors Services
AEON,AEON Biopharma Inc. Class A Common Stock,$5.85,0.20,3.54%,217383660.00,United States,,2925,Health Care,Biotechnology: Pharmaceutical Preparations
AGE,AgeX Therapeutics Inc. Common Stock,$0.36,0.001,0.279%,13662454.00,,2018,68945,Health Care,Biotechnology: Pharmaceutical Preparations
AIM,AIM ImmunoTech Inc. Common Stock,$0.4732,-0.0519,-9.884%,23112198.00,United States,1997,131082,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AINC,Ashford Inc. (Holding Company) Common Stock,$4.20,-0.2501,-5.62%,13498695.00,United States,2014,10726,Consumer Discretionary,Professional Services
AIRI,Air Industries Group Common Stock,$3.00,-0.0499,-1.636%,9909135.00,United States,,1957,Industrials,Military/Government/Technical
AMBI,Ambipar Emergency Response Class A Ordinary Shares,$7.00,0.21,3.093%,388008950.00,,,1911,Industrials,Environmental Services
AMBO,Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares,$0.15,-0.0195,-11.504%,3909564.00,China,,193971,Real Estate,Other Consumer Services
AMPE,Ampio Pharmaceuticals Inc.,$1.9992,-0.0508,-2.478%,1663376.00,United States,2022,25116,Health Care,Biotechnology: Pharmaceutical Preparations
AMS,American Shared Hospital Services Common Stock,$2.38,0.01,0.422%,14994000.00,United States,1988,24562,Health Care,Medical Specialities
APT,Alpha Pro Tech Ltd. Common Stock,$5.29,-0.10,-1.855%,61613138.00,Canada,2000,40137,,
AREN,The Arena Group Holdings Inc. Common Stock,$2.36,-0.20,-7.813%,56250343.00,United States,2022,84157,Health Care,Medical/Dental Instruments
ARMN,Aris Mining Corporation Common Shares,$3.11,-0.03,-0.955%,428660443.00,,2023,70462,,
