ticker,company,keywords
A,"Agilent Technologies, Inc.","['A', 'Agilent Technologies']"
AA,Alcoa Corporation,"['AA', 'Alcoa']"
AAN,"The Aaron's Company, Inc.","['AAN', ""Aaron's""]"
AAP,"Advance Auto Parts, Inc.","['AAP', 'Advance Auto Parts']"
AAT,"American Assets Trust, Inc.","['AAT', 'American Assets Trust']"
AB,AllianceBernstein Holding L.P.,"['AB', 'AllianceBernstein Holding']"
ABBV,AbbVie Inc.,"['ABBV', 'AbbVie']"
ABEV,Ambev S.A.,"['ABEV', 'Ambev']"
ABG,"Asbury Automotive Group, Inc.","['ABG', 'Asbury Automotive']"
ABM,ABM Industries Incorporated,"['ABM', 'ABM Industries']"
ABR,"Arbor Realty Trust, Inc.","['ABR', 'Arbor Realty Trust']"
ABT,Abbott Laboratories,"['ABT', 'Abbott Laboratories']"
ACA,"Arcosa, Inc.","['ACA', 'Arcosa']"
ACCO,ACCO Brands Corporation,"['ACCO', 'ACCO Brands']"
ACEL,"Accel Entertainment, Inc.","['ACEL', 'Accel Entertainment']"
ACHR,Archer Aviation Inc.,"['ACHR', 'Archer Aviation']"
ACI,"Albertsons Companies, Inc.","['ACI', 'Albertsons Companies']"
ACM,AECOM,"['ACM', 'AECOM']"
ACN,Accenture plc,"['ACN', 'Accenture']"
ACRE,Ares Commercial Real Estate Corporation,"['ACRE', 'Ares Commercial Real Estate']"
ADC,Agree Realty Corporation,"['ADC', 'Agree Realty']"
ADM,Archer-Daniels-Midland Company,"['ADM', 'Archer-Daniels-Midland']"
ADNT,Adient plc,"['ADNT', 'Adient']"
ADT,ADT Inc.,"['ADT', 'ADT']"
AEE,Ameren Corporation,"['AEE', 'Ameren']"
AEG,Aegon Ltd.,"['AEG', 'Aegon']"
AEL,American Equity Investment Life Holding Company,"['AEL', 'American Equity Investment Life Holding']"
AEM,Agnico Eagle Mines Limited,"['AEM', 'Agnico Eagle Mines']"
AEO,"American Eagle Outfitters, Inc.","['AEO', 'American Eagle Outfitters']"
AER,AerCap Holdings N.V.,"['AER', 'AerCap Holdings NV']"
AES,The AES Corporation,"['AES', 'AES']"
AFG,"American Financial Group, Inc.","['AFG', 'American Financial']"
AFL,Aflac Incorporated,"['AFL', 'Aflac']"
AG,First Majestic Silver Corp.,"['AG', 'First Majestic Silver']"
AGCO,AGCO Corporation,"['AGCO', 'AGCO']"
AGL,"agilon health, inc.","['AGL', 'agilon health']"
AGM,Federal Agricultural Mortgage Corporation,"['AGM', 'Federal Agricultural Mortgage']"
AGO,Assured Guaranty Ltd.,"['AGO', 'Assured Guaranty']"
AGR,"Avangrid, Inc.","['AGR', 'Avangrid']"
AGRO,Adecoagro S.A.,"['AGRO', 'Adecoagro']"
AGS,"PlayAGS, Inc.","['AGS', 'PlayAGS']"
AGTI,"Agiliti, Inc.","['AGTI', 'Agiliti']"
AGX,"Argan, Inc.","['AGX', 'Argan']"
AHH,"Armada Hoffler Properties, Inc.","['AHH', 'Armada Hoffler Properties']"
AHT,"Ashford Hospitality Trust, Inc.","['AHT', 'Ashford Hospitality Trust']"
AIG,"American International Group, Inc.","['AIG', 'American']"
AIN,Albany International Corp.,"['AIN', 'Albany']"
AIR,AAR Corp.,"['AIR', 'AAR']"
AIRC,Apartment Income REIT Corp.,"['AIRC', 'Apartment Income REIT']"
AIT,"Applied Industrial Technologies, Inc.","['AIT', 'Applied Industrial Technologies']"
AIV,Apartment Investment and Management Company,"['AIV', 'Apartment Investment Management']"
AIZ,"Assurant, Inc.","['AIZ', 'Assurant']"
AJG,Arthur J. Gallagher & Co.,"['AJG', 'Arthur J Gallagher &']"
AKR,Acadia Realty Trust,"['AKR', 'Acadia Realty Trust']"
AL,Air Lease Corporation,"['AL', 'Air Lease']"
ALB,Albemarle Corporation,"['ALB', 'Albemarle']"
ALC,Alcon Inc.,"['ALC', 'Alcon']"
ALCC,AltC Acquisition Corp.,"['ALCC', 'AltC Acquisition']"
ALE,"ALLETE, Inc.","['ALE', 'ALLETE']"
ALEX,"Alexander & Baldwin, Inc.","['ALEX', 'Alexander & Baldwin']"
ALG,Alamo Group Inc.,"['ALG', 'Alamo']"
ALIT,"Alight, Inc.","['ALIT', 'Alight']"
ALK,"Alaska Air Group, Inc.","['ALK', 'Alaska Air']"
ALL,The Allstate Corporation,"['ALL', 'Allstate']"
ALLE,Allegion plc,"['ALLE', 'Allegion']"
ALLY,Ally Financial Inc.,"['ALLY', 'Ally Financial']"
ALSN,"Allison Transmission Holdings, Inc.","['ALSN', 'Allison Transmission Holdings']"
ALTG,Alta Equipment Group Inc.,"['ALTG', 'Alta Equipment']"
ALV,"Autoliv, Inc.","['ALV', 'Autoliv']"
ALX,"Alexander's, Inc.","['ALX', ""Alexander's""]"
AM,Antero Midstream Corporation,"['AM', 'Antero Midstream']"
AMBC,"Ambac Financial Group, Inc.","['AMBC', 'Ambac Financial']"
AMBP,Ardagh Metal Packaging S.A.,"['AMBP', 'Ardagh Metal Packaging']"
AMC,"AMC Entertainment Holdings, Inc.","['AMC', 'AMC Entertainment Holdings']"
AMCR,Amcor plc,"['AMCR', 'Amcor']"
AME,"AMETEK, Inc.","['AME', 'AMETEK']"
AMG,"Affiliated Managers Group, Inc.","['AMG', 'Affiliated Managers']"
AMH,American Homes 4 Rent,"['AMH', 'American Homes 4 Rent']"
AMK,"AssetMark Financial Holdings, Inc.","['AMK', 'AssetMark Financial Holdings']"
AMN,"AMN Healthcare Services, Inc.","['AMN', 'AMN Healthcare']"
AMP,"Ameriprise Financial, Inc.","['AMP', 'Ameriprise Financial']"
AMPS,"Altus Power, Inc.","['AMPS', 'Altus Power']"
AMR,"Alpha Metallurgical Resources, Inc.","['AMR', 'Alpha Metallurgical Resources']"
AMRC,"Ameresco, Inc.","['AMRC', 'Ameresco']"
AMT,American Tower Corporation,"['AMT', 'American Tower']"
AMTB,Amerant Bancorp Inc.,"['AMTB', 'Amerant Bancorp']"
