ticker,side
AMZN,buy
BFC,buy
DIN,buy
LAKE,buy
LAND,buy
LIN,buy
PAC,buy
RLI,buy
AIR,sell
ALE,sell
ALL,sell
AMC,sell
ARE,sell
ATI,sell
CAL,sell
CONN,sell
COO,sell
COST,sell
CRI,sell
DOW,sell
EVA,sell
FET,sell
FOR,sell
GLOB,sell
GOOD,sell
GOOG,sell
GOOGL,sell
HOUS,sell
IMO,sell
ING,sell
KFRC,sell
LOB,sell
LW,sell
MAR,sell
MASS,sell
NDAQ,sell
NET,sell
NIC,sell
NUE,sell
NWS,sell
NWSA,sell
OKE,sell
ORC,sell
PAR,sell
PERI,sell
POR,sell
RES,sell
REVG,sell
RIO,sell
ROP,sell
RSI,sell
SAN,sell
SOL,sell
STE,sell
TECH,sell
TER,sell
TREE,sell
TSLA,sell
V,sell
VAC,sell
WAL,sell
WDS,sell
WOR,sell
