ticker,side
BFC,buy
BSX,buy
CLF,buy
COR,buy
DOW,buy
INTC,buy
LAW,buy
NWSA,buy
PENN,buy
REVG,buy
SBUX,buy
YOU,buy
Z,buy
ZG,buy
AIN,sell
BA,sell
ESS,sell
ING,sell
KSS,sell
MAN,sell
NDAQ,sell
NEXT,sell
SID,sell
WES,sell
WOR,sell
AAPL,buy
ACN,buy
ADTN,buy
AES,buy
AGIO,buy
AGRO,buy
AIR,buy
ALE,buy
ALL,buy
ALV,buy
AME,buy
APG,buy
AR,buy
ARES,buy
ASB,buy
ASIX,buy
ASND,buy
ATI,buy
AZN,buy
BAK,buy
BAM,buy
BBIO,buy
BCRX,buy
BEN,buy
BFLY,buy
BHC,buy
BIG,buy
BILL,buy
BK,buy
BLK,buy
BR,buy
BSX,buy
BUR,buy
CARR,buy
CAT,buy
CCL,buy
CENX,buy
CFLT,buy
CGEM,buy
CHH,buy
CLSK,buy
COHR,buy
COIN,buy
COMM,buy
COMP,buy
COR,buy
CRL,buy
CRM,buy
CRNC,buy
CTVA,buy
DCO,buy
DD,buy
DDD,buy
DEA,buy
DHR,buy
DOW,buy
EAT,buy
EG,buy
EMN,buy
EMR,buy
EQNR,buy
ERIC,buy
ESTC,buy
FC,buy
FDX,buy
FFIV,buy
FICO,buy
FRPT,buy
G,buy
GLOB,buy
GMRE,buy
GRMN,buy
GS,buy
GTN,buy
H,buy
HDSN,buy
HES,buy
HIG,buy
HON,buy
HSIC,buy
HTGC,buy
HTLD,buy
IBM,buy
IBP,buy
ICE,buy
ING,buy
INN,buy
INTU,buy
IQV,buy
IVZ,buy
JOBY,buy
JPM,buy
JRVR,buy
KD,buy
KDP,buy
KEYS,buy
KR,buy
KRUS,buy
KTOS,buy
LH,buy
LMT,buy
LOB,buy
LOVE,buy
LOW,buy
LVS,buy
MAR,buy
MAT,buy
MCD,buy
MERC,buy
META,buy
ML,buy
MMSI,buy
MRK,buy
MRUS,buy
MSFT,buy
MSGE,buy
MSTR,buy
MU,buy
MXCT,buy
NAUT,buy
NKE,buy
NOC,buy
NVDA,buy
NWPX,buy
NXPI,buy
NYT,buy
OGN,buy
OIS,buy
OMGA,buy
OMI,buy
OPEN,buy
OPI,buy
ORCL,buy
PEN,buy
PFE,buy
PGR,buy
PINS,buy
PM,buy
PRU,buy
PSTX,buy
PX,buy
RCKT,buy
RCL,buy
RDFN,buy
RDWR,buy
RES,buy
REVG,buy
REXR,buy
RIOT,buy
RQI,buy
RRX,buy
RTX,buy
RYAAY,buy
SABR,buy
SBUX,buy
SEIC,buy
SFIX,buy
SHO,buy
SHOP,buy
SILK,buy
SKX,buy
SLB,buy
SMP,buy
STER,buy
STT,buy
STX,buy
SUM,buy
TAL,buy
TD,buy
TDC,buy
TER,buy
TIMB,buy
TKR,buy
TMUS,buy
TREE,buy
TROW,buy
TRU,buy
TSE,buy
TT,buy
TTD,buy
TTWO,buy
TWKS,buy
UAL,buy
UBER,buy
VIV,buy
VLN,buy
VNT,buy
VRNS,buy
VRNT,buy
VST,buy
VVI,buy
WAL,buy
WASH,buy
WDAY,buy
WDS,buy
WFC,buy
WMB,buy
WMT,buy
WTM,buy
XMTR,buy
ZGN,buy
ABR,sell
AEM,sell
ALT,sell
AMZN,sell
BA,sell
CARE,sell
CRI,sell
CRWD,sell
CTS,sell
CXM,sell
ESS,sell
EXPO,sell
EXTR,sell
EYE,sell
FIVE,sell
FNB,sell
GOOG,sell
GOOGL,sell
HCA,sell
HCSG,sell
INVE,sell
LTH,sell
LULU,sell
MAN,sell
MDLZ,sell
MGNX,sell
NARI,sell
NVO,sell
POR,sell
RARE,sell
REX,sell
RIG,sell
RWT,sell
SAGE,sell
SBH,sell
SID,sell
SPWH,sell
STLA,sell
TCS,sell
THC,sell
TRI,sell
V,sell
VAL,sell
VERV,sell
VICR,sell
WINA,sell
WOOF,sell
XPEL,sell
ZI,sell
